File: durak-api
Build ID: 3f6237606f6f1cc77e5dab4717b939f022a7c3ca
Type: cpu
Time: 2026-02-19 16:51:13 MSK
Duration: 25s, Total samples = 55.63s (222.51%)
Showing nodes accounting for 45.12s, 81.11% of 55.63s total
Dropped 754 nodes (cum <= 0.28s)
      flat  flat%   sum%        cum   cum%
         0     0% 81.11%      0.58s  1.04%  internal/poll.(*FD).SetWriteDeadline (inline)
         0     0% 81.11%     29.03s 52.18%  internal/poll.ignoringEINTRIO (inline)
         0     0% 81.11%     44.75s 80.44%  main.jsonContentType.func1
         0     0% 81.11%     44.75s 80.44%  main.main.cors.func8.1
         0     0% 81.11%      0.58s  1.04%  net.(*netFD).SetWriteDeadline (inline)
         0     0% 81.11%     44.92s 80.75%  net/http.(*conn).serve
         0     0% 81.11%     44.78s 80.50%  net/http.HandlerFunc.ServeHTTP
         0     0% 81.11%     44.80s 80.53%  net/http.serverHandler.ServeHTTP
         0     0% 81.11%      0.38s  0.68%  runtime.(*mcache).nextFree
         0     0% 81.11%      1.42s  2.55%  runtime.gcBgMarkWorker
         0     0% 81.11%      1.40s  2.52%  runtime.gcBgMarkWorker.func2
         0     0% 81.11%      0.82s  1.47%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 81.11%      0.58s  1.04%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 81.11%      2.51s  4.51%  runtime.injectglist.func1
         0     0% 81.11%      0.93s  1.67%  runtime.lock (inline)
         0     0% 81.11%      0.93s  1.67%  runtime.lockWithRank (inline)
         0     0% 81.11%      0.71s  1.28%  runtime.markroot
         0     0% 81.11%      0.69s  1.24%  runtime.markroot.func1
         0     0% 81.11%      2.32s  4.17%  runtime.notewakeup
         0     0% 81.11%      0.67s  1.20%  runtime.scanstack
         0     0% 81.11%      0.41s  0.74%  runtime.semasleep
         0     0% 81.11%      1.85s  3.33%  runtime.semawakeup (inline)
         0     0% 81.11%      2.08s  3.74%  runtime.unlock (inline)
         0     0% 81.11%      2.08s  3.74%  runtime.unlockWithRank (inline)
         0     0% 81.11%      1.23s  2.21%  syscall.Syscall6
